stop_id,stop_code,stop_name,stop_lat,stop_lon,scheduled_stop_calls,degree,weighted_degree,in_degree,out_degree,pagerank,betweenness,harmonic,is_articulation_point,community_id
37292,17104,תל אביב ההגנה,32.053978,34.784839,752,8,1493,8,8,0.03944272055346101,0.5378399378399378,0.3633658008658008,True,6
37362,17034,הרצליה,32.163558,34.817406,599,8,846,8,8,0.02242889018603218,0.5146076146076146,0.3639610389610388,False,7
37358,17038,תל אביב מרכז,32.083715,34.798247,815,4,1543,4,4,0.03137243771480922,0.5086247086247087,0.3303391053391052,True,6
37338,17058,לוד,31.947694,34.879159,313,8,557,8,8,0.029738783519524144,0.3982128982128982,0.3545454545454544,True,1
37376,17020,חוף הכרמל,32.7936,34.957404,405,6,688,6,6,0.02035432014393639,0.36418026418026406,0.33367003367003356,True,2
37380,17016,חיפה מרכז,32.822306,34.997177,414,7,815,7,7,0.025639055463887655,0.33986013986013985,0.3206409331409332,True,2
37306,17090,נתב''ג,32.00036,34.870481,331,4,617,4,4,0.018162804621495145,0.31002331002331,0.3289682539682539,True,6
37350,17046,השלום,32.073346,34.793256,751,2,1502,2,2,0.0320191742269758,0.2219114219114219,0.3049783549783549,False,6
37316,17080,קרית גת,31.603526,34.777955,70,4,140,4,4,0.012144118141499278,0.18414918414918416,0.29168470418470416,False,5
41293,17117,קרית מוצקין,32.833133,35.07003,316,6,624,6,6,0.02318042443830737,0.15897435897435896,0.281747124928943,True,4
37314,17082,באר שבע צפון,31.262089,34.809287,235,5,454,5,5,0.029078046584594733,0.11328671328671329,0.2590985613712886,True,5
37360,17036,תא אוניברסיטה,32.103516,34.804499,672,4,1344,4,4,0.029798449565473905,0.11017871017871025,0.31194083694083685,False,6
42417,17121,רעננה מערב,32.180006,34.850737,217,3,434,3,3,0.0130197122483279,0.10225330225330224,0.2796296296296295,False,7
37294,17102,רשל''צ משה דיין,31.987987,34.757392,218,4,412,4,4,0.01654265665000116,0.09774669774669775,0.2909090909090908,False,3
37332,17064,רחובות,31.908691,34.806351,125,4,198,3,4,0.012601460312389887,0.07365967365967366,0.2828463203463203,False,1
37356,17040,בני ברק,32.102938,34.830131,217,2,434,2,2,0.011965260522604014,0.06464646464646466,0.24698172198172186,False,8
37326,17070,אשדוד עד הלום,31.774061,34.666059,267,4,509,4,3,0.02185996832829566,0.06285936285936285,0.25228037955310684,False,3
40581,17113,כפר ברוך,32.647554,35.207967,106,4,212,4,4,0.014435560793139377,0.059673659673659674,0.2552319734137915,True,2
37336,17060,רמלה,31.928809,34.877304,102,3,204,3,3,0.016023527659984053,0.05617715617715618,0.26744227994227987,True,1
37296,17100,הוד השרון,32.170213,34.901609,217,3,434,3,3,0.014216093187973265,0.04910644910644911,0.2364778739778739,False,8
37372,17024,בנימינה,32.514386,34.949573,283,6,455,6,6,0.014402347598217454,0.04895104895104898,0.3170033670033669,False,2
37354,17042,קרית אריה,32.106273,34.863205,217,2,434,2,2,0.013247376107795744,0.037839937839937846,0.2118927368927368,False,8
